"tahun_kutipan","jumlah_kutipan"
2026,503301075.56
2025,2080168263.86
2024,2124997772.13
2023,854833976.49
2022,457747105.68
2021,488643830.52
2020,258213455.62
2019,303743084.55
2018,255694648.07
2017,289928787.44
2016,265607486.53
2015,263790843.14
2014,274481910.15
2013,23073783.48
2012,234012732.25
2011,251058145.91
2010,233009303.12
2009,186340902.21
2008,169719082.26
2007,28121029.68
2006,10702435.9
2005,7479146.5
2004,6861788.3
2003,5426358.3
2002,5422058.2
2001,2406897.15
20,30093.8
3,520.8
,0.0
