"tahun_kutipan","bulan_kutipan","jumlah_kutipan"
2026,4,14887219.29
2026,3,205701224.56
2026,2,115013653.48
2026,1,167698978.23
2025,12,233335103.71
2025,11,176012755.69
2025,10,100356928.61
2025,9,160996765.31
2025,8,85599468.12
2025,7,150252179.44
2025,6,169392124.89
2025,5,152769602.15
2025,4,302006624.16
2025,3,177348549.52
2025,2,261934231.75
2025,1,110163930.51
2024,12,142214806.56
2024,11,262059648.12
2024,10,198584760.46
2024,9,111677882.05
2024,8,113787606.9
2024,7,137655038.35
2024,6,241663195.14
2024,5,264644437.46
2024,4,175390759.59
2024,3,197229408.98
2024,2,132199596.17
2024,1,147890632.35
2023,12,191074931.23
2023,11,115733921.48
2023,10,110779421.58
2023,9,32077992.4
2023,8,26335683.24
2023,7,18611842.03
2023,6,19904773.87
2023,5,79143496.19
2023,4,69381819.88
2023,3,37336937.79
2023,2,48076578.72
2023,1,106376578.08
2022,12,26888842.88
2022,11,24028658
2022,10,15485533.13
2022,9,24538112.67
2022,8,14779929.95
2022,7,29608712.17
2022,6,20260089.53
2022,5,95009854.98
2022,4,50181236.33
2022,3,33815155.9
2022,2,90763200.83
2022,1,32387779.31
2021,12,20283079
2021,11,22991117.06
2021,10,10402393.1
2021,9,14154974.82
2021,8,12568176.46
2021,7,82170071.26
2021,6,14609133.06
2021,5,84933665.58
2021,4,97170831.43
2021,3,32831392.72
2021,2,31246416.08
2021,1,65282579.95
2020,12,6739637.68
2020,11,4180889.16
2020,10,9197163.37
2020,9,35967918.65
2020,8,14907858.52
2020,7,49838962.78
2020,6,37877467.13
2020,5,35132741.72
2020,4,1306227.18
2020,3,16904988.13
2020,2,21662508.47
2020,1,24497092.83
2019,12,7939931.77
2019,11,10511208.79
2019,10,11309922.94
2019,9,15003922.11
2019,8,11935690.68
2019,7,12170954.62
2019,6,14650892.02
2019,5,92901274.88
2019,4,44228026.04
2019,3,25612291.41
2019,2,29586582.82
2019,1,27892386.47
2018,12,3970494.41
2018,11,18527147.64
2018,10,6467339.62
2018,9,9193721.02
2018,8,5609002.95
2018,7,14608978.74
2018,6,10266315.4
2018,5,86709969.41
2018,4,31621534.38
2018,3,20388630.63
2018,2,23813480.3
2018,1,24518033.57
2017,12,18018576.88
2017,11,33712281.35
2017,10,8475144.68
2017,9,8610122.18
2017,8,10846086.51
2017,7,9533077.62
2017,6,7688740.65
2017,5,89248132.92
2017,4,26301170.02
2017,3,25174375.2
2017,2,32332869.86
2017,1,19988209.57
2016,12,47759231.96
2016,11,5771851.18
2016,10,36784070.42
2016,9,6040053.75
2016,8,12759288.28
2016,7,8373316.59
2016,6,20502801.4
2016,5,44626019.95
2016,4,19674797.3
2016,3,25458126.58
2016,2,16131677.96
2016,1,21726251.16
2015,12,11466043.67
2015,11,15662168.51
2015,10,30759936.99
2015,9,16617756.94
2015,8,13029133.28
2015,7,11212092.67
2015,6,13617931.98
2015,5,73519625.9
2015,4,18004746.89
2015,3,25025133.84
2015,2,16037348.08
2015,1,18838924.39
2014,12,18962775.39
2014,11,47104743.73
2014,10,9703569.64
2014,9,12006195.6
2014,8,17917249.26
2014,7,7178072.65
2014,6,24473868.56
2014,5,49672969.56
2014,4,20226947.56
2014,3,25704737.38
2014,2,24900332.4
2014,1,16630448.42
2013,12,1662053.42
2013,11,1165936.51
2013,10,2242194.29
2013,9,984748.32
2013,8,1068778.03
2013,7,1988696.67
2013,6,1986850.01
2013,5,1601873.28
2013,4,2673570.89
2013,3,2045908.8
2013,2,3305207.35
2013,1,2347965.91
2012,12,10231983.47
2012,11,9305618.24
2012,10,13561295.63
2012,9,7332460.88
2012,8,6431000.75
2012,7,16305307.86
2012,6,8759351.61
2012,5,74662875.93
2012,4,30018452.93
2012,3,21216787.1
2012,2,19827970.33
2012,1,16359627.52
2011,12,14962583.38
2011,11,6287255.0
2011,10,16667873.13
2011,9,7366717.76
2011,8,7866746.0
2011,7,47222867.29
2011,6,11741818.08
2011,5,39989751.8
2011,4,32503644.41
2011,3,34889751.35
2011,2,14636240.87
2011,1,16922896.84
2010,12,17665494.3
2010,11,7687497.96
2010,10,9325657.54
2010,9,6790786.72
2010,8,19853056
2010,7,13157021.41
2010,6,9991396.52
2010,5,52683150.98
2010,4,47154575.86
2010,3,16974444.16
2010,2,14476775.33
2010,1,17249446.34
2009,12,16267889.38
2009,11,11418153.81
2009,10,7036336.04
2009,9,6755338.78
2009,8,7560813.25
2009,7,17740986.99
2009,6,10086780.51
2009,5,34571330.34
2009,4,35989031.52
2009,3,16102627.29
2009,2,15279714.98
2009,1,7531899.32
2008,12,9896673.91
2008,11,7088116.13
2008,10,9591775.51
2008,9,8045527.97
2008,8,4829352.03
2008,7,3994563.9
2008,6,18493786.12
2008,5,33367989.06
2008,4,36916040.29
2008,3,13398640.35
2008,2,13753149.3
2008,1,10343467.69
2007,12,2650285.95
2007,11,855599.98
2007,10,938377.26
2007,9,798301.3
2007,8,3098064.66
2007,7,1000177.69
2007,6,8682077.5
2007,5,4837073.69
2007,4,1112305.8
2007,3,1375084.15
2007,2,1412690.9
2007,1,1360990.8
2006,12,205889.6
2006,11,137268.5
2006,10,197766.9
2006,9,469251.3
2006,8,555976.7
2006,7,301825.7
2006,6,595357.5
2006,5,2408643.0
2006,4,1316294.6
2006,3,1634579.3
2006,2,1976691.0
2006,1,902891.8
2005,12,151052.1
2005,11,143288.5
2005,10,210931.4
2005,9,228097.6
2005,8,194949.0
2005,7,214328.5
2005,6,315040.2
2005,5,2031711.5
2005,4,847723.0
2005,3,1185419.3
2005,2,1061680.9
2005,1,894924.5
2004,12,143378.6
2004,11,112441.4
2004,10,159091.0
2004,9,161149.6
2004,8,172848.1
2004,7,487736.3
2004,6,395307.6
2004,5,1414102.9
2004,4,690747.0
2004,3,1124607.2
2004,2,1173779.7
2004,1,826598.9
2003,12,179694.5
2003,11,78326.2
2003,10,106876.9
2003,9,625005.7
2003,8,124462.8
2003,7,161686.8
2003,6,165179.1
2003,5,1051805.5
2003,4,811240.2
2003,3,782362.1
2003,2,745029.5
2003,1,594689.0
2002,12,83871.9
2002,11,468584.2
2002,10,121473.5
2002,9,173956.8
2002,8,188779.4
2002,7,175013.7
2002,6,168594.3
2002,5,1190937.9
2002,4,673277.4
2002,3,780769.3
2002,2,685785.0
2002,1,711014.8
2001,12,92003.7
2001,11,124518.6
2001,10,459646.1
2001,9,129324.3
2001,8,161301.5
2001,7,130170.5
2001,6,133015.8
2001,5,1176916.65
2001,4,0.0
2001,3,0.0
2001,2,0.0
2001,1,0.0
20,5,30093.8
3,11,520.8
,,0.0
